species,individual,sample,date,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,atmospheric_pressure
C_flexuosa,1,1,31/8/2024,21:00:00,0,0.042,23,50,1.336,1.336,91.2
C_flexuosa,1,1,31/8/2024,22:00:00,60,0.041,22.5,52,NA,NA,91.2
C_flexuosa,1,1,31/8/2024,23:00:00,120,0.04,21.4,52,NA,NA,91.2
C_flexuosa,1,1,31/8/2024,23:59:00,180,0.039,20.8,52,NA,NA,91.2
C_flexuosa,1,1,31/8/2024,01:00:00,240,0.038,20.1,53,NA,NA,91.2
C_flexuosa,1,1,31/8/2024,02:00:00,300,0.037,19.5,53,NA,NA,91.2
C_flexuosa,1,1,31/8/2024,04:00:00,420,0.035,18.3,54,NA,NA,91.2
C_flexuosa,2,1,31/8/2024,21:00:00,-179,0.031,23,50,1.313,1.313,91.2
C_flexuosa,2,1,31/8/2024,22:00:00,-119,0.029,22.5,52,NA,NA,91.2
C_flexuosa,2,1,31/8/2024,23:00:00,-59,0.028,21.4,52,NA,NA,91.2
C_flexuosa,2,1,31/8/2024,23:59:00,0,0.026,20.8,52,NA,NA,91.2
C_flexuosa,2,1,31/8/2024,01:00:00,240,0.023,20.1,53,NA,NA,91.2
C_flexuosa,2,1,31/8/2024,02:00:00,300,0.022,19.5,53,NA,NA,91.2
C_flexuosa,2,1,31/8/2024,04:00:00,420,0.02,18.3,54,NA,NA,91.2
C_flexuosa,3,1,31/8/2024,22:00:00,60,0.016,22.5,52,0.67,0.67,91.2
C_flexuosa,3,1,31/8/2024,23:00:00,120,0.015,21.4,52,NA,NA,91.2
C_flexuosa,3,1,31/8/2024,23:59:00,179,0.014,20.8,52,NA,NA,91.2
C_flexuosa,3,1,31/8/2024,01:00:00,240,0.013,20.1,53,NA,NA,91.2
C_flexuosa,3,1,31/8/2024,02:00:00,300,0.012,19.5,53,NA,NA,91.2
C_flexuosa,4,1,31/8/2024,22:00:00,60,0.022,22.5,52,1.055,NA,91.2
C_flexuosa,4,1,31/8/2024,23:00:00,120,0.021,21.4,52,NA,NA,91.2
C_flexuosa,4,1,31/8/2024,23:59:00,179,0.019,20.8,52,NA,NA,91.2
C_flexuosa,4,1,31/8/2024,01:00:00,240,0.017,20.1,53,NA,NA,91.2
C_flexuosa,4,1,31/8/2024,02:00:00,300,0.016,19.5,53,NA,NA,91.2
C_flexuosa,5,1,31/8/2024,22:00:00,60,0.0580000000000001,22.5,52,2.338,NA,91.2
C_flexuosa,5,1,31/8/2024,23:00:00,120,0.0550000000000001,21.4,52,NA,NA,91.2
C_flexuosa,5,1,31/8/2024,23:59:00,179,0.051,20.8,52,NA,NA,91.2
C_flexuosa,5,1,31/8/2024,01:00:00,240,0.05,20.1,53,NA,NA,91.2
C_flexuosa,5,1,31/8/2024,02:00:00,300,0.047,19.5,53,NA,NA,91.2
C_flexuosa,6,1,31/8/2024,22:00:00,60,0.023,22.5,52,1.105,NA,91.2
C_flexuosa,6,1,31/8/2024,23:00:00,120,0.021,21.4,52,NA,NA,91.2
C_flexuosa,6,1,31/8/2024,23:59:00,179,0.02,20.8,52,NA,NA,91.2
C_flexuosa,6,1,31/8/2024,01:00:00,240,0.019,20.1,53,NA,NA,91.2
C_flexuosa,6,1,31/8/2024,02:00:00,300,0.018,19.5,53,NA,NA,91.2
