species,individual,sample,measure,data,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,weight_dry_g,atmospheric_pressure
C_nictitans,v061,1,2,14_mar_2024,11:44:50,-51.97,0.062,26.7,75,3.833,NA,0.013,101.8
C_nictitans,v061,1,3,14_mar_2024,12:12:40,-24.13,0.061,27.1,74,NA,NA,NA,101.8
C_nictitans,v061,1,4,14_mar_2024,12:36:48,0,0.058,27.2,73,NA,NA,NA,101.8
C_nictitans,v061,1,5,14_mar_2024,12:59:59,23.18,0.055,27.3,72,NA,NA,NA,101.8
C_nictitans,v061,1,6,14_mar_2024,13:50:38,73.83,0.053,27.2,74,NA,NA,NA,101.8
C_nictitans,v061,1,7,14_mar_2024,14:42:12,125.4,0.049,26.4,70,NA,NA,NA,101.8
C_nictitans,v061,1,8,14_mar_2024,15:08:30,151.7,0.048,26.2,72,NA,NA,NA,101.8
C_nictitans,v061,1,9,14_mar_2024,15:30,173.7,0.047,25.9,70,NA,NA,NA,101.8
C_nictitans,v061,1,10,14_mar_2024,16:14:20,217.53,0.046,25.8,73,NA,NA,NA,101.8
C_nictitans,v061,1,11,14_mar_2024,16:42:34,245.77,0.044,25.9,77,NA,NA,NA,101.8
C_nictitans,v061,1,12,14_mar_2024,17:50:54,314.1,0.042,24.4,66,NA,NA,NA,101.8
C_nictitans,v088,1,2,14_mar_2024,11:44:50,-51.97,0.063,26.7,75,4.1,NA,0.015,101.8
C_nictitans,v088,1,3,14_mar_2024,12:12:40,-24.13,0.061,27.1,74,NA,NA,NA,101.8
C_nictitans,v088,1,4,14_mar_2024,12:36:48,0,0.06,27.2,73,NA,NA,NA,101.8
C_nictitans,v088,1,5,14_mar_2024,12:59:59,23.18,0.057,27.3,72,NA,NA,NA,101.8
C_nictitans,v088,1,6,14_mar_2024,13:50:38,73.83,0.054,27.2,74,NA,NA,NA,101.8
C_nictitans,v088,1,7,14_mar_2024,14:42:12,125.4,0.051,26.4,70,NA,NA,NA,101.8
C_nictitans,v088,1,8,14_mar_2024,15:08:30,151.7,0.048,26.2,72,NA,NA,NA,101.8
C_nictitans,v088,1,9,14_mar_2024,15:30,173.7,0.046,25.9,70,NA,NA,NA,101.8
C_nictitans,v088,1,10,14_mar_2024,16:14:20,217.53,0.043,25.8,73,NA,NA,NA,101.8
C_nictitans,v088,1,11,14_mar_2024,16:42:34,245.77,0.042,25.9,77,NA,NA,NA,101.8
C_nictitans,v088,1,12,14_mar_2024,17:50:54,314.1,0.04,24.4,66,NA,NA,NA,101.8
C_nictitans,v046,1,2,14_mar_2024,11:44:50,-51.97,0.055,26.7,75,3.675,NA,0.013,101.8
C_nictitans,v046,1,3,14_mar_2024,12:12:40,-24.13,0.053,27.1,74,NA,NA,NA,101.8
C_nictitans,v046,1,4,14_mar_2024,12:36:48,0,0.051,27.2,73,NA,NA,NA,101.8
C_nictitans,v046,1,5,14_mar_2024,12:59:59,23.18,0.05,27.3,72,NA,NA,NA,101.8
C_nictitans,v046,1,6,14_mar_2024,13:50:38,73.83,0.048,27.2,74,NA,NA,NA,101.8
C_nictitans,v046,1,7,14_mar_2024,14:42:12,125.4,0.046,26.4,70,NA,NA,NA,101.8
C_nictitans,v046,1,8,14_mar_2024,15:08:30,151.7,0.043,26.2,72,NA,NA,NA,101.8
C_nictitans,v046,1,9,14_mar_2024,15:30,173.7,0.042,25.9,70,NA,NA,NA,101.8
C_nictitans,v046,1,10,14_mar_2024,16:14:20,217.53,0.04,25.8,73,NA,NA,NA,101.8
C_nictitans,v046,1,11,14_mar_2024,16:42:34,245.77,0.038,25.9,77,NA,NA,NA,101.8
C_nictitans,v046,1,12,14_mar_2024,17:50:54,314.1,0.036,24.4,66,NA,NA,NA,101.8
C_nictitans,v0116,1,2,09_abr_2024,15:40:50,-59.33,0.058,24.1,73,7.774,NA,NA,101.8
C_nictitans,v0116,1,3,09_abr_2024,16:12:50,-27.33,0.055,22.9,70,5.5,NA,NA,101.8
C_nictitans,v0116,1,4,09_abr_2024,16:40:10,0,0.053,23,72,NA,NA,NA,101.8
C_nictitans,v0116,1,5,09_abr_2024,17:45:10,65,0.051,22.6,72,NA,NA,NA,101.8
C_nictitans,v0116,1,6,09_abr_2024,19:05:10,145,0.048,22.9,74,NA,NA,NA,101.8
C_nictitans,v0116,1,7,09_abr_2024,19:21:40,161.5,0.046,23.4,76,NA,NA,NA,101.8
C_nictitans,v023,1,2,09_abr_2024,15:43:20,-79.83,0.081,24.1,71,7.59,NA,NA,101.8
