species,individual,sample,measure,data,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,atmospheric_pressure
C_brachystachia,1,1,2,01_mai_2024,17:30:00,0,0.6943,25.4,59,15.309,NA,87.23
C_brachystachia,1,1,3,01_mai_2024,17:45:00,15,0.6895,25.3,59,NA,NA,87.23
C_brachystachia,1,1,4,01_mai_2024,18:00:00,30,0.6845,25.2,59,NA,NA,87.23
C_brachystachia,1,1,5,01_mai_2024,18:15:00,45,0.6801,25.1,59,NA,NA,87.23
C_brachystachia,1,1,6,01_mai_2024,18:30:00,60,0.6752,25,60,NA,NA,87.23
C_brachystachia,1,1,7,01_mai_2024,18:45:00,75,0.6706,24.9,60,NA,NA,87.23
C_brachystachia,1,1,8,01_mai_2024,19:00:00,90,0.6658,24.8,60,NA,NA,87.23
C_brachystachia,1,1,9,01_mai_2024,19:15,105,0.6592,24.8,61,NA,NA,87.23
C_brachystachia,1,1,10,02_mai_2024,07:50:00,755,0.4635,22.8,65,NA,NA,87.23
C_brachystachia,2,1,2,01_mai_2024,17:30:00,0,0.8497,25.4,59,19.09,NA,87.23
C_brachystachia,2,1,3,01_mai_2024,17:45:00,15,0.8464,25.3,59,NA,NA,87.23
C_brachystachia,2,1,4,01_mai_2024,18:00:00,30,0.843,25.2,59,NA,NA,87.23
C_brachystachia,2,1,5,01_mai_2024,18:15:00,45,0.8393,25.1,59,NA,NA,87.23
C_brachystachia,2,1,6,01_mai_2024,18:30:00,60,0.836,25,60,NA,NA,87.23
C_brachystachia,2,1,7,01_mai_2024,18:45:00,75,0.8323,24.9,60,NA,NA,87.23
C_brachystachia,2,1,8,01_mai_2024,19:00:00,90,0.8293,24.8,60,NA,NA,87.23
C_brachystachia,2,1,9,01_mai_2024,19:15,105,0.8248,24.8,61,NA,NA,87.23
C_brachystachia,2,1,10,01_mai_2024,07:50:00,755,0.6978,22.8,65,NA,NA,87.23
C_brachystachia,3,1,2,01_mai_2024,17:30:00,0,1.7159,25.4,59,31.475,NA,87.23
C_brachystachia,3,1,3,01_mai_2024,17:45:00,15,1.7027,25.3,59,NA,NA,87.23
C_brachystachia,3,1,4,01_mai_2024,18:00:00,30,1.689,25.2,59,NA,NA,87.23
C_brachystachia,3,1,5,01_mai_2024,18:15:00,45,1.6764,25.1,59,NA,NA,87.23
C_brachystachia,3,1,6,01_mai_2024,18:30:00,60,1.6629,25,60,NA,NA,87.23
C_brachystachia,3,1,7,01_mai_2024,18:45:00,75,1.6505,24.9,60,NA,NA,87.23
C_brachystachia,3,1,8,01_mai_2024,19:00:00,90,1.6391,24.8,60,NA,NA,87.23
C_brachystachia,3,1,9,01_mai_2024,19:15,105,1.6258,24.8,61,NA,NA,87.23
C_brachystachia,3,1,10,01_mai_2024,07:50:00,755,1.1681,22.8,65,NA,NA,87.23
C_brachystachia,4,1,2,01_mai_2024,17:30:00,0,0.6227,25.4,59,14.501,NA,87.23
C_brachystachia,4,1,3,01_mai_2024,17:45:00,15,0.6207,25.3,59,NA,NA,87.23
C_brachystachia,4,1,4,01_mai_2024,18:00:00,30,0.618,25.2,59,NA,NA,87.23
C_brachystachia,4,1,5,01_mai_2024,18:15:00,45,0.616,25.1,59,NA,NA,87.23
C_brachystachia,4,1,6,01_mai_2024,18:30:00,60,0.6135,25,60,NA,NA,87.23
C_brachystachia,4,1,7,01_mai_2024,18:45:00,75,0.6109,24.9,60,NA,NA,87.23
C_brachystachia,4,1,8,01_mai_2024,19:00:00,90,0.6089,24.8,60,NA,NA,87.23
C_brachystachia,4,1,9,01_mai_2024,19:15,105,0.6057,24.8,61,NA,NA,87.23
C_brachystachia,4,1,10,01_mai_2024,07:50:00,755,0.5159,22.8,65,NA,NA,87.23
C_brachystachia,5,1,2,01_mai_2024,17:30:00,0,0.6101,25.4,59,12.392,NA,87.23
C_brachystachia,5,1,3,01_mai_2024,17:45:00,15,0.605,25.3,59,NA,NA,87.23
C_brachystachia,5,1,4,01_mai_2024,18:00:00,30,0.6001,25.2,59,NA,NA,87.23
C_brachystachia,5,1,5,01_mai_2024,18:15:00,45,0.5955,25.1,59,NA,NA,87.23
C_brachystachia,5,1,6,01_mai_2024,18:30:00,60,0.5903,25,60,NA,NA,87.23
C_brachystachia,5,1,7,01_mai_2024,18:45:00,75,0.5853,24.9,60,NA,NA,87.23
C_brachystachia,5,1,8,01_mai_2024,19:00:00,90,0.5808,24.8,60,NA,NA,87.23
C_brachystachia,5,1,9,01_mai_2024,19:15,105,0.5736,24.8,61,NA,NA,87.23
C_brachystachia,5,1,10,01_mai_2024,07:50:00,755,0.3786,22.8,65,NA,NA,87.23
C_brachystachia,6,1,2,01_mai_2024,17:30:00,0,1.3627,25.4,59,25.831,NA,87.23
C_brachystachia,6,1,3,01_mai_2024,17:45:00,15,1.3533,25.3,59,NA,NA,87.23
C_brachystachia,6,1,4,01_mai_2024,18:00:00,30,1.3433,25.2,59,NA,NA,87.23
C_brachystachia,6,1,5,01_mai_2024,18:15:00,45,1.3345,25.1,59,NA,NA,87.23
C_brachystachia,6,1,6,01_mai_2024,18:30:00,60,1.3249,25,60,NA,NA,87.23
C_brachystachia,6,1,7,01_mai_2024,18:45:00,75,1.3163,24.9,60,NA,NA,87.23
C_brachystachia,6,1,8,01_mai_2024,19:00:00,90,1.3083,24.8,60,NA,NA,87.23
C_brachystachia,6,1,9,01_mai_2024,19:15,105,1.2985,24.8,61,NA,NA,87.23
C_brachystachia,6,1,10,01_mai_2024,07:50:00,755,0.9789,22.8,65,NA,NA,87.23
