species,individual,sample,measure,data,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,atmospheric_pressure
C_distishoclata,1,1,2,01_mai_2024,09:46:00,0,0.0186,23.1,69,0.975,0.975,87.23
C_distishoclata,1,1,3,01_mai_2024,10:10:00,24,0.0184,23.4,69,NA,NA,87.23
C_distishoclata,1,1,4,01_mai_2024,10:35:00,49,0.0182,23.8,67,NA,NA,87.23
C_distishoclata,1,1,5,01_mai_2024,10:55:00,69,0.018,23.8,65,NA,NA,87.23
C_distishoclata,1,1,6,01_mai_2024,11:15:00,89,0.0178,23.8,64,NA,NA,87.23
C_distishoclata,1,1,7,01_mai_2024,11:35:00,109,0.0176,23.9,64,NA,NA,87.23
C_distishoclata,1,1,8,01_mai_2024,11:55:00,129,0.0175,24.2,62,NA,NA,87.23
C_distishoclata,1,1,9,01_mai_2024,13:05,199,0.0171,24.9,61,NA,NA,87.23
C_distishoclata,1,2,2,01_mai_2024,09:46:00,0,0.0155,23.1,69,0.671,0.671,87.23
C_distishoclata,1,2,3,01_mai_2024,10:10:00,24,0.015,23.4,69,NA,NA,87.23
C_distishoclata,1,2,4,01_mai_2024,10:35:00,49,0.0146,23.8,67,NA,NA,87.23
C_distishoclata,1,2,5,01_mai_2024,10:55:00,69,0.0143,23.8,65,NA,NA,87.23
C_distishoclata,1,2,6,01_mai_2024,11:15:00,89,0.0141,23.8,64,NA,NA,87.23
C_distishoclata,1,2,7,01_mai_2024,11:35:00,109,0.0139,23.9,64,NA,NA,87.23
C_distishoclata,1,2,8,01_mai_2024,11:55:00,129,0.0137,24.2,62,NA,NA,87.23
C_distishoclata,1,2,9,01_mai_2024,13:05,199,0.0129,24.9,61,NA,NA,87.23
C_distishoclata,1,3,2,01_mai_2024,16:35:00,0,0.0275,25.3,56,1.198,NA,87.23
C_distishoclata,1,3,3,01_mai_2024,16:55:00,20,0.0268,25.2,56,NA,NA,87.23
C_distishoclata,1,3,4,01_mai_2024,17:15:00,40,0.0264,25,56,NA,NA,87.23
C_distishoclata,1,3,5,01_mai_2024,17:35:00,60,0.026,24.9,56,NA,NA,87.23
C_distishoclata,1,3,6,01_mai_2024,17:55:00,80,0.0255,24.8,56,NA,NA,87.23
C_distishoclata,1,3,7,01_mai_2024,18:15:00,100,0.0251,24.8,57,NA,NA,87.23
C_distishoclata,1,3,8,01_mai_2024,18:35:00,120,0.0246,24.7,57,NA,NA,87.23
C_distishoclata,1,3,9,01_mai_2024,18:55:00,140,0.0243,24.5,57,NA,NA,87.23
C_distishoclata,1,3,10,01_mai_2024,19:15:00,160,0.0239,24.4,59,NA,NA,87.23
C_distishoclata,1,3,11,01_mai_2024,19:35:00,180,0.0236,24.4,60,NA,NA,87.23
C_distishoclata,2,1,2,01_mai_2024,16:35:00,0,0.0219,25.3,56,1.0035,NA,87.23
C_distishoclata,2,1,3,01_mai_2024,16:55:00,20,0.0216,25.2,56,0.943,NA,87.23
C_distishoclata,2,1,4,01_mai_2024,17:15:00,40,0.0214,25,56,1.064,NA,87.23
C_distishoclata,2,1,5,01_mai_2024,17:35:00,60,0.0212,24.9,56,NA,NA,87.23
C_distishoclata,2,1,6,01_mai_2024,17:55:00,80,0.021,24.8,56,NA,NA,87.23
C_distishoclata,2,1,7,01_mai_2024,18:15:00,100,0.0208,24.8,57,NA,NA,87.23
C_distishoclata,2,1,8,01_mai_2024,18:35:00,120,0.0206,24.7,57,NA,NA,87.23
C_distishoclata,2,1,9,01_mai_2024,18:55:00,140,0.0204,24.5,57,NA,NA,87.23
C_distishoclata,2,1,10,01_mai_2024,19:15:00,160,0.0203,24.4,59,NA,NA,87.23
C_distishoclata,2,1,11,01_mai_2024,19:35:00,180,0.0201,24.4,60,NA,NA,87.23
C_distishoclata,3,1,2,01_mai_2024,16:35:00,0,0.0264,25.3,56,1.058,NA,87.23
C_distishoclata,3,1,3,01_mai_2024,16:55:00,20,0.0255,25.2,56,NA,NA,87.23
C_distishoclata,3,1,4,01_mai_2024,17:15:00,40,0.025,25,56,NA,NA,87.23
C_distishoclata,3,1,5,01_mai_2024,17:35:00,60,0.0245,24.9,56,NA,NA,87.23
C_distishoclata,3,1,6,01_mai_2024,17:55:00,80,0.024,24.8,56,NA,NA,87.23
C_distishoclata,3,1,7,01_mai_2024,18:15:00,100,0.0235,24.8,57,NA,NA,87.23
C_distishoclata,3,1,8,01_mai_2024,18:35:00,120,0.0228,24.7,57,NA,NA,87.23
C_distishoclata,3,1,9,01_mai_2024,18:55:00,140,0.0225,24.5,57,NA,NA,87.23
C_distishoclata,3,1,10,01_mai_2024,19:15:00,160,0.0221,24.4,59,NA,NA,87.23
C_distishoclata,3,1,11,01_mai_2024,19:35:00,180,0.0217,24.4,60,NA,NA,87.23
C_distishoclata,4,1,2,01_mai_2024,16:35:00,0,0.0132,25.3,56,0.615,NA,87.23
C_distishoclata,4,1,3,01_mai_2024,16:55:00,20,0.0125,25.2,56,NA,NA,87.23
C_distishoclata,4,1,4,01_mai_2024,17:15:00,40,0.0123,25,56,NA,NA,87.23
C_distishoclata,4,1,5,01_mai_2024,17:35:00,60,0.0121,24.9,56,NA,NA,87.23
C_distishoclata,4,1,6,01_mai_2024,17:55:00,80,0.0119,24.8,56,NA,NA,87.23
C_distishoclata,4,1,7,01_mai_2024,18:15:00,100,0.0117,24.8,57,NA,NA,87.23
C_distishoclata,4,1,8,01_mai_2024,18:35:00,120,0.0114,24.7,57,NA,NA,87.23
C_distishoclata,4,1,9,01_mai_2024,18:55:00,140,0.0113,24.5,57,NA,NA,87.23
C_distishoclata,4,1,10,01_mai_2024,19:15:00,160,0.0112,24.4,59,NA,NA,87.23
C_distishoclata,4,1,11,01_mai_2024,19:35:00,180,0.011,24.4,60,NA,NA,87.23
C_distishoclata,5,1,2,01_mai_2024,16:35:00,0,0.0337,25.3,56,1.422,NA,87.23
C_distishoclata,5,1,3,01_mai_2024,16:55:00,20,0.0327,25.2,56,NA,NA,87.23
C_distishoclata,5,1,4,01_mai_2024,17:15:00,40,0.0325,25,56,NA,NA,87.23
C_distishoclata,5,1,5,01_mai_2024,17:35:00,60,0.0323,24.9,56,NA,NA,87.23
C_distishoclata,5,1,6,01_mai_2024,17:55:00,80,0.0317,24.8,56,NA,NA,87.23
C_distishoclata,5,1,7,01_mai_2024,18:15:00,100,0.0315,24.8,57,NA,NA,87.23
C_distishoclata,5,1,8,01_mai_2024,18:35:00,120,0.0309,24.7,57,NA,NA,87.23
